using device: cuda
total desired batch_size: 524288
=> calculated gradient accumulation steps: 128
validation loss: 10.9450
step  126 | loss: 6.802536 | lr: 1.0657e-04 norm: 1.1406 | dt: 26.76s | tok/sec: 19594.89
step  127 | loss: 6.706679 | lr: 1.0741e-04 norm: 1.1254 | dt: 26.79s | tok/sec: 19571.16
step  128 | loss: 6.712986 | lr: 1.0825e-04 norm: 0.9069 | dt: 26.76s | tok/sec: 19591.38
step  129 | loss: 6.680088 | lr: 1.0909e-04 norm: 0.9325 | dt: 26.76s | tok/sec: 19593.60
step  130 | loss: 6.572921 | lr: 1.0993e-04 norm: 0.7335 | dt: 26.75s | tok/sec: 19596.87
step  131 | loss: 6.691498 | lr: 1.1077e-04 norm: 0.7050 | dt: 26.76s | tok/sec: 19589.87
step  132 | loss: 6.559418 | lr: 1.1161e-04 norm: 0.8839 | dt: 26.79s | tok/sec: 19568.45
step  133 | loss: 6.802981 | lr: 1.1245e-04 norm: 1.1384 | dt: 26.78s | tok/sec: 19577.88
step  134 | loss: 6.847475 | lr: 1.1329e-04 norm: 1.3242 | dt: 26.76s | tok/sec: 19594.51
step  135 | loss: 6.621798 | lr: 1.1413e-04 norm: 1.6034 | dt: 26.75s | tok/sec: 19595.93
step  136 | loss: 6.538432 | lr: 1.1497e-04 norm: 0.7358 | dt: 26.80s | tok/sec: 19562.35
step  137 | loss: 6.687606 | lr: 1.1580e-04 norm: 1.1597 | dt: 26.69s | tok/sec: 19641.87
step  138 | loss: 6.765063 | lr: 1.1664e-04 norm: 2.1915 | dt: 26.73s | tok/sec: 19613.33
step  139 | loss: 6.641626 | lr: 1.1748e-04 norm: 0.9967 | dt: 26.61s | tok/sec: 19703.54
step  140 | loss: 6.550274 | lr: 1.1832e-04 norm: 3.3539 | dt: 26.61s | tok/sec: 19703.85
step  141 | loss: 6.537258 | lr: 1.1916e-04 norm: 1.5146 | dt: 26.61s | tok/sec: 19704.98
step  142 | loss: 6.574210 | lr: 1.2000e-04 norm: 2.3532 | dt: 26.61s | tok/sec: 19705.75
step  143 | loss: 6.657455 | lr: 1.2084e-04 norm: 1.4383 | dt: 26.64s | tok/sec: 19679.72
step  144 | loss: 6.588142 | lr: 1.2168e-04 norm: 1.8760 | dt: 26.63s | tok/sec: 19684.48
step  145 | loss: 6.583886 | lr: 1.2252e-04 norm: 1.5980 | dt: 26.61s | tok/sec: 19704.79
step  146 | loss: 6.526487 | lr: 1.2336e-04 norm: 0.9546 | dt: 26.60s | tok/sec: 19706.49
step  147 | loss: 6.536822 | lr: 1.2420e-04 norm: 1.0703 | dt: 26.65s | tok/sec: 19675.62
step  148 | loss: 6.647186 | lr: 1.2503e-04 norm: 0.9122 | dt: 26.61s | tok/sec: 19705.00
step  149 | loss: 6.504014 | lr: 1.2587e-04 norm: 1.0825 | dt: 26.61s | tok/sec: 19704.19
step  150 | loss: 6.496098 | lr: 1.2671e-04 norm: 1.4107 | dt: 26.61s | tok/sec: 19705.87
step  151 | loss: 6.614582 | lr: 1.2755e-04 norm: 1.0172 | dt: 26.61s | tok/sec: 19706.32
step  152 | loss: 6.499773 | lr: 1.2839e-04 norm: 0.9870 | dt: 26.63s | tok/sec: 19684.37
step  153 | loss: 6.503083 | lr: 1.2923e-04 norm: 1.2855 | dt: 26.63s | tok/sec: 19684.51
step  154 | loss: 6.465316 | lr: 1.3007e-04 norm: 0.8260 | dt: 26.60s | tok/sec: 19706.85
step  155 | loss: 6.590968 | lr: 1.3091e-04 norm: 0.7981 | dt: 26.61s | tok/sec: 19705.95
step  156 | loss: 6.560143 | lr: 1.3175e-04 norm: 0.8501 | dt: 26.64s | tok/sec: 19683.40
step  157 | loss: 6.465929 | lr: 1.3259e-04 norm: 1.0067 | dt: 26.61s | tok/sec: 19699.73
step  158 | loss: 6.530722 | lr: 1.3343e-04 norm: 1.4681 | dt: 26.61s | tok/sec: 19706.22
step  159 | loss: 6.420527 | lr: 1.3427e-04 norm: 0.6507 | dt: 26.61s | tok/sec: 19706.35
step  160 | loss: 6.374281 | lr: 1.3510e-04 norm: 1.1411 | dt: 26.64s | tok/sec: 19683.45
step  161 | loss: 6.385800 | lr: 1.3594e-04 norm: 1.0603 | dt: 26.61s | tok/sec: 19704.33
step  162 | loss: 6.420946 | lr: 1.3678e-04 norm: 0.8849 | dt: 26.60s | tok/sec: 19708.85
step  163 | loss: 6.487490 | lr: 1.3762e-04 norm: 0.7032 | dt: 26.60s | tok/sec: 19707.87
step  164 | loss: 6.441987 | lr: 1.3846e-04 norm: 0.7850 | dt: 26.61s | tok/sec: 19705.29
step  165 | loss: 6.316914 | lr: 1.3930e-04 norm: 0.9204 | dt: 26.65s | tok/sec: 19671.05
step  166 | loss: 6.426639 | lr: 1.4014e-04 norm: 1.3231 | dt: 26.60s | tok/sec: 19708.16
step  167 | loss: 6.370092 | lr: 1.4098e-04 norm: 0.7154 | dt: 26.61s | tok/sec: 19704.33
step  168 | loss: 6.382637 | lr: 1.4182e-04 norm: 1.0064 | dt: 26.61s | tok/sec: 19706.15
step  169 | loss: 6.279984 | lr: 1.4266e-04 norm: 1.0274 | dt: 26.61s | tok/sec: 19705.24
step  170 | loss: 6.309700 | lr: 1.4350e-04 norm: 0.7619 | dt: 26.64s | tok/sec: 19681.44
step  171 | loss: 6.372107 | lr: 1.4434e-04 norm: 0.8647 | dt: 26.63s | tok/sec: 19685.16
step  172 | loss: 6.325778 | lr: 1.4517e-04 norm: 1.0385 | dt: 26.61s | tok/sec: 19705.81
step  173 | loss: 6.303727 | lr: 1.4601e-04 norm: 1.2088 | dt: 26.61s | tok/sec: 19703.69
step  174 | loss: 6.356883 | lr: 1.4685e-04 norm: 0.7181 | dt: 26.64s | tok/sec: 19677.79
step  175 | loss: 6.370056 | lr: 1.4769e-04 norm: 0.8700 | dt: 26.61s | tok/sec: 19704.85
step  176 | loss: 6.295027 | lr: 1.4853e-04 norm: 1.2920 | dt: 26.61s | tok/sec: 19705.80
step  177 | loss: 6.324254 | lr: 1.4937e-04 norm: 1.3322 | dt: 26.61s | tok/sec: 19702.42
step  178 | loss: 6.315370 | lr: 1.5021e-04 norm: 0.8582 | dt: 26.61s | tok/sec: 19702.25
step  179 | loss: 6.304002 | lr: 1.5105e-04 norm: 1.4424 | dt: 26.64s | tok/sec: 19681.62
step  180 | loss: 6.276445 | lr: 1.5189e-04 norm: 0.6223 | dt: 26.63s | tok/sec: 19684.87
step  181 | loss: 6.282104 | lr: 1.5273e-04 norm: 0.6891 | dt: 26.61s | tok/sec: 19703.56
step  182 | loss: 6.347027 | lr: 1.5357e-04 norm: 0.9801 | dt: 26.61s | tok/sec: 19704.19
step  183 | loss: 6.251843 | lr: 1.5441e-04 norm: 1.4267 | dt: 26.64s | tok/sec: 19678.73
step  184 | loss: 6.370714 | lr: 1.5524e-04 norm: 0.8385 | dt: 26.61s | tok/sec: 19704.78
step  185 | loss: 6.213429 | lr: 1.5608e-04 norm: 0.8689 | dt: 26.61s | tok/sec: 19702.91
step  186 | loss: 6.246908 | lr: 1.5692e-04 norm: 1.3100 | dt: 26.61s | tok/sec: 19705.01
step  187 | loss: 6.264838 | lr: 1.5776e-04 norm: 0.9444 | dt: 26.61s | tok/sec: 19701.17
step  188 | loss: 6.218490 | lr: 1.5860e-04 norm: 0.9241 | dt: 26.65s | tok/sec: 19676.69
step  189 | loss: 6.299589 | lr: 1.5944e-04 norm: 1.0516 | dt: 26.61s | tok/sec: 19700.55
step  190 | loss: 6.315669 | lr: 1.6028e-04 norm: 0.8033 | dt: 26.61s | tok/sec: 19705.11
step  191 | loss: 6.297906 | lr: 1.6112e-04 norm: 0.5058 | dt: 26.61s | tok/sec: 19701.94
step  192 | loss: 6.177675 | lr: 1.6196e-04 norm: 0.6542 | dt: 26.61s | tok/sec: 19704.60
step  193 | loss: 6.195696 | lr: 1.6280e-04 norm: 0.7009 | dt: 26.64s | tok/sec: 19677.28
step  194 | loss: 6.208543 | lr: 1.6364e-04 norm: 0.8688 | dt: 26.63s | tok/sec: 19685.20
step  195 | loss: 6.205387 | lr: 1.6448e-04 norm: 0.9712 | dt: 26.61s | tok/sec: 19701.22
step  196 | loss: 6.230919 | lr: 1.6531e-04 norm: 1.3147 | dt: 26.61s | tok/sec: 19704.44
step  197 | loss: 6.210389 | lr: 1.6615e-04 norm: 0.9606 | dt: 26.65s | tok/sec: 19671.60
step  198 | loss: 6.253394 | lr: 1.6699e-04 norm: 1.4730 | dt: 26.61s | tok/sec: 19705.31
step  199 | loss: 6.199533 | lr: 1.6783e-04 norm: 0.7605 | dt: 26.62s | tok/sec: 19698.56
step  200 | loss: 6.226438 | lr: 1.6867e-04 norm: 0.9837 | dt: 26.61s | tok/sec: 19702.97
step  201 | loss: 6.144941 | lr: 1.6951e-04 norm: 0.9283 | dt: 26.61s | tok/sec: 19701.34
step  202 | loss: 6.177982 | lr: 1.7035e-04 norm: 0.8601 | dt: 26.64s | tok/sec: 19681.64
step  203 | loss: 6.267582 | lr: 1.7119e-04 norm: 0.9339 | dt: 26.63s | tok/sec: 19684.33
step  204 | loss: 6.161836 | lr: 1.7203e-04 norm: 0.8355 | dt: 26.61s | tok/sec: 19702.45
step  205 | loss: 6.193183 | lr: 1.7287e-04 norm: 1.0471 | dt: 26.61s | tok/sec: 19703.77
step  206 | loss: 6.188933 | lr: 1.7371e-04 norm: 1.5823 | dt: 26.64s | tok/sec: 19680.37
step  207 | loss: 6.239729 | lr: 1.7455e-04 norm: 1.0937 | dt: 26.61s | tok/sec: 19702.18
step  208 | loss: 6.117735 | lr: 1.7538e-04 norm: 0.9078 | dt: 26.61s | tok/sec: 19701.99
step  209 | loss: 6.188261 | lr: 1.7622e-04 norm: 0.5621 | dt: 26.61s | tok/sec: 19699.74
step  210 | loss: 6.130068 | lr: 1.7706e-04 norm: 0.5675 | dt: 26.61s | tok/sec: 19703.17
step  211 | loss: 6.088027 | lr: 1.7790e-04 norm: 0.6849 | dt: 26.64s | tok/sec: 19682.40
step  212 | loss: 6.152819 | lr: 1.7874e-04 norm: 3.1675 | dt: 26.63s | tok/sec: 19684.66
step  213 | loss: 6.249970 | lr: 1.7958e-04 norm: 1.4556 | dt: 26.61s | tok/sec: 19699.53
step  214 | loss: 6.158303 | lr: 1.8042e-04 norm: 2.0021 | dt: 26.61s | tok/sec: 19703.61
step  215 | loss: 6.255088 | lr: 1.8126e-04 norm: 1.0239 | dt: 26.64s | tok/sec: 19682.03
step  216 | loss: 6.126701 | lr: 1.8210e-04 norm: 1.5491 | dt: 26.61s | tok/sec: 19700.02
step  217 | loss: 6.124804 | lr: 1.8294e-04 norm: 1.2000 | dt: 26.62s | tok/sec: 19698.66
step  218 | loss: 6.145315 | lr: 1.8378e-04 norm: 0.9837 | dt: 26.61s | tok/sec: 19702.93
step  219 | loss: 6.143218 | lr: 1.8462e-04 norm: 0.9350 | dt: 26.61s | tok/sec: 19702.34
step  220 | loss: 6.220494 | lr: 1.8545e-04 norm: 0.9738 | dt: 26.65s | tok/sec: 19676.09
step  221 | loss: 6.182291 | lr: 1.8629e-04 norm: 0.9383 | dt: 26.63s | tok/sec: 19685.62
step  222 | loss: 6.145365 | lr: 1.8713e-04 norm: 1.0805 | dt: 26.61s | tok/sec: 19704.12
step  223 | loss: 6.132202 | lr: 1.8797e-04 norm: 0.9036 | dt: 26.61s | tok/sec: 19704.12
step  224 | loss: 6.252612 | lr: 1.8881e-04 norm: 0.8523 | dt: 26.64s | tok/sec: 19678.02
step  225 | loss: 6.052200 | lr: 1.8965e-04 norm: 1.0527 | dt: 26.61s | tok/sec: 19705.09
step  226 | loss: 6.166021 | lr: 1.9049e-04 norm: 1.5972 | dt: 26.61s | tok/sec: 19704.79
step  227 | loss: 6.144670 | lr: 1.9133e-04 norm: 0.7495 | dt: 26.61s | tok/sec: 19701.77
step  228 | loss: 6.284301 | lr: 1.9217e-04 norm: 1.2783 | dt: 26.61s | tok/sec: 19705.29
step  229 | loss: 6.132204 | lr: 1.9301e-04 norm: 0.7835 | dt: 26.64s | tok/sec: 19680.46
step  230 | loss: 6.193313 | lr: 1.9385e-04 norm: 0.8378 | dt: 26.62s | tok/sec: 19694.39
step  231 | loss: 6.102420 | lr: 1.9469e-04 norm: 1.2227 | dt: 26.61s | tok/sec: 19702.42
step  232 | loss: 6.259857 | lr: 1.9552e-04 norm: 1.0694 | dt: 26.61s | tok/sec: 19701.89
step  233 | loss: 6.147114 | lr: 1.9636e-04 norm: 1.0669 | dt: 26.64s | tok/sec: 19680.84
step  234 | loss: 6.101774 | lr: 1.9720e-04 norm: 0.6860 | dt: 26.61s | tok/sec: 19703.09
step  235 | loss: 6.018398 | lr: 1.9804e-04 norm: 0.7173 | dt: 26.61s | tok/sec: 19700.84
step  236 | loss: 6.060009 | lr: 1.9888e-04 norm: 0.6260 | dt: 26.61s | tok/sec: 19702.82
step  237 | loss: 6.108630 | lr: 1.9972e-04 norm: 0.5587 | dt: 26.61s | tok/sec: 19701.63
